Acesse o contrato na íntegra,CNPJ da empresa,CNPJ do Consórcio,Cliente,Compartilhado com outros projetos?,Consórcio,Data de assinatura,Empresa,Esfera do cliente,Fim da vigência,Líder do consórcio,N˚ do contrato,Objeto,Participação no consórcio,Serviço Contratado,Valor Estimado por empresa (R$),Valor Global (R$),grupo
,17.298.125/0001-42,,,,,,WBIO CONSULTORIA E ENGENHARIA AMBIENTAL LIMITADA,,,Não,,,"10,84%",,"470.062,97",,
,20.159.727/0001-23,,,,,,RADAR PPP LTDA,,,Sim,,,"41,40%",,"1.795.258,93",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004626.zip,09.187.017/0001-74,43.291.950/0001-25,ELETRONUCLEAR S.A.,Não,CONSORCIO ANGRA EUROBRAS NES,23/06/2021,EMPRESARIOS AGRUPADOS INTERNACIONAL S.A.,Federal,25/10/2026,Não,0092/2021,"Contratação dos serviços técnicos de engenharia, no âmbito da estruturação do modelo de implantação da Usina Termonuclear de Angra 3 nos termos da Resolução nº 139 do Conselho do Programa de Parcerias de Investimento (CPPI), do Decreto nº 9915/2019 e demais normas aplicáveis (“Serviço A”).","42,57%",Serviço A,"25.038.170,63","58.816.468,48",ANGRA3
,09.063.390/0001-13,,,,,,TRACTEBEL ENGINEERING SA,,,Não,,,"32,80%",,"19.291.801,66",,
,33.633.561/0001-87,,,,,,TRACTEBEL ENGINEERING LTDA,,,Sim,,,"24,63%",,"14.486.496,19",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004804.zip,02.520.543/0001-65,45.322.624/0001-63,,Não,CONSORCIO BCR,25/10/2021,"CESCON, BARRIEU, FLESCH & BARRETO SOCIEDADE DE ADVOGADOS",,25/10/2026,Não,0228/2021,"Contratação dos serviços necessários para a realização do “Serviço B” (Avaliação de Recursos Humanos e Atuarial/Previdenciária, Due Diligence Jurídica, Due Diligence Contábil-Patrimonial, e Avaliação Socioambiental e de Licenciamento Nuclear) no âmbito da estruturação do modelo de implantação da Usina Termonuclear de Angra 3 (“Serviço B”).","17,38%",Serviço B,"440.067,79","2.532.035,61",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004804.zip,02.807.315/0001-70,45.322.624/0001-63,,Não,CONSORCIO BCR,25/10/2021,EBP BRASIL GESTAO AMBIENTAL LTDA,,25/10/2026,Não,0228/2021,"Contratação dos serviços necessários para a realização do “Serviço B” (Avaliação de Recursos Humanos e Atuarial/Previdenciária, Due Diligence Jurídica, Due Diligence Contábil-Patrimonial, e Avaliação Socioambiental e de Licenciamento Nuclear) no âmbito da estruturação do modelo de implantação da Usina Termonuclear de Angra 3 (“Serviço B”).","34,75%",Serviço B,"879.882,37","2.532.035,61",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004804.zip,24.935.493/0001-10,45.322.624/0001-63,,Não,CONSORCIO BCR,25/10/2021,BAKER TILLY BRASIL GO AUDITORES INDEPENDENTES S/S,,25/10/2026,Sim,0228/2021,"Contratação dos serviços necessários para a realização do “Serviço B” (Avaliação de Recursos Humanos e Atuarial/Previdenciária, Due Diligence Jurídica, Due Diligence Contábil-Patrimonial, e Avaliação Socioambiental e de Licenciamento Nuclear) no âmbito da estruturação do modelo de implantação da Usina Termonuclear de Angra 3 (“Serviço B”).","47,88%",Serviço B,"1.212.338,65","2.532.035,61",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004852.zip,67.003.673/0001-76,44.672.258/0001-00,,Não,CONSORCIO LM ANGRA 3,06/12/2021,"MATTOS FILHO, VEIGA FILHO, MARREY JR. E QUIROGA ADVOGADOS",,25/10/2026,Não,0263/2021,"Processo de seleção da RFP nº 20/2021 - AED/BNDES (Projeções Financeiras, Avaliação Econômico Financeira, Assessoria Jurídica e Assessoria Financeira e outros produtos e serviços relacionados -“Serviço C” do empreendimento de Angra 3).","37,05%",Serviço C,"17.860.198,62","48.205.664,29",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004852.zip,12.349.622/0001-09,44.672.258/0001-00,,Não,CONSORCIO LM ANGRA 3,06/12/2021,LAKESHORE ADVISORY PARTNERS CONSULTORIA LTDA,,25/10/2026,Sim,0263/2021,"Processo de seleção da RFP nº 20/2021 - AED/BNDES (Projeções Financeiras, Avaliação Econômico Financeira, Assessoria Jurídica e Assessoria Financeira e outros produtos e serviços relacionados -“Serviço C” do empreendimento de Angra 3).","62,95%",Serviço C,"30.345.465,67","48.205.664,29",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004998.zip,52.566.122/0001-43,46.867.604/0001-30,MUNICÍPIO DE ARAPIRACA,Não,CONSORCIO EY/FELSBERG/SANEARES,02/05/2022,FELSBERG E PEDRETTI ADVOGADOS E CONSULTORES LEGAIS,Municipal,29/11/2026,Não,0081/2022,"(i)Autorizar contratação do Consórcio EY/FELSBERG/SANEARES para consultoria ao projeto de participação privada na prestação dos serviços públicos de saneamento em até 28 municípios de Alagoas, por 18 meses prorrogáveis, no valor de R$ 2.250.000,00, (ii)Condicionar item (i) à celebração do Contrato de Estruturação de Projetos entre BNDES e Arapiraca, e (iii)Delegar poderes ao Sup AEP para ajustar Minuta das Especificações Técnicas, desde que não aumente o valor global da presente contratação.","20,65%",Serviço Único,"873.376,50","4.229.426,14",ARAPIRACA - SANEAMENTO
,34.830.445/0001-10,,,,,,SANEARES - INFRAESTRUTURA E SANEAMENTO LTDA,,,Não,,,"42,39%",,"1.792.853,74",,
,59.527.788/0001-31,,,,,,ERNST & YOUNG ASSESSORIA EMPRESARIAL LTDA,,,Sim,,,"36,96%",,"1.563.195,90",,
