Acesse o contrato na íntegra,CNPJ da empresa,CNPJ do Consórcio,Cliente,Compartilhado com outros projetos?,Consórcio,Data de assinatura,Empresa,Esfera do cliente,Fim da vigência,Líder do consórcio,N˚ do contrato,Objeto,Participação no consórcio,Serviço Contratado,Valor Estimado por empresa (R$),Valor Global (R$),grupo
,00.286.988/0001-05,,,,,,FACCIO ARQUITETURA S/S LTDA,,,Não,,,"31,00%",,"495.345,89",,
,33.641.663/0001-44,,,,,,FUNDACAO GETULIO VARGAS,,,Sim,,,"54,00%",,"862.860,58",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004572.zip,44.239.135/0005-03,40.977.012/0001-95,MUNICIPIO DE TERESINA,Não,CONSORCIO EDUCAR AEM,27/10/2020,EGIS - ENGENHARIA E CONSULTORIA LTDA.,Municipal,21/12/2022,Não,0221/2020,"Contratação de serviços técnicos necessários para a estruturação de projeto de parceria do município de Teresina com a iniciativa privada, destinado à construção, reconstrução, gestão, operação, conservação e manutenção de até 40 (quarenta) NOVAS Unidades educacionais, por meio do regime de concessão administrativa (“PPP Administrativa”), instituído pela Lei Federal nº 11.079/2004, conforme especificações constantes do Termo de Referência e da proposta apresentada pelo CONTRATADO.","48,44%",Serviço Único,"1.489.732,06","3.075.417,13",CRECHES TERESINA
,03.706.936/0001-20,,,,,,MACHADO MEYER SENDACZ OPICE E ANDRADE ADVOGADOS,,,Não,,,"17,88%",,"549.884,58",,
,96.534.094/0001-58,,,,,,ACCENTURE DO BRASIL LTDA,,,Sim,,,"33,68%",,"1.035.800,49",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400003492.zip,19.453.651/0001-65,31.789.304/0001-03,MUNICIPIO DE CURITIBA,Sim,CONSORCIO ACCENTURE-MOYSES & PIRES,31/10/2018,MOYSES & PIRES SOCIEDADE DE ADVOGADOS,Municipal,30/04/2023,Não,0421/2018,"Contratação de serviços técnicos necessários para a estruturação de projeto(s) de Parceria Público-Privada (PPP) relativo(s) à modernização, eficientização, expansão, operação e manutenção da infraestrutura de rede(s) municipal(is) de ILUMINAÇÃO PÚBLICA que tenha(m) até 200.000 (duzentos mil) pontos de luz.","25,00%",Serviço Único,"837.497,62","3.349.990,48",CURITIBA IP
,96.534.094/0001-58,,,,,,ACCENTURE DO BRASIL LTDA,,,Sim,,,"75,00%",,"2.512.492,86",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004453.zip,48.086.466/0001-88,41.520.062/0001-01,MINISTERIO DA FAZENDA,Sim,CONSORCIO DADOS BR,04/01/2021,BURSON COHN & WOLFE COMUNICACAO LTDA,Federal,03/01/2024,Não,0263/2020,"Prestação de serviços necessários para a realização de estudo de mercado, diagnóstico setorial nacional e internacional, estudo regulatório, proposição de alternativas de desestatização, modelagem da desestatização e outros serviços profissionais especializados necessários à estruturação e à implementação dos processos de desestatização do Serviço Federal de Processamento de Dados – SERPRO e da Empresa de Tecnologia e Informações da Previdência – DATAPREV (“SERVIÇO C”).","4,83%",Serviço C,"422.210,42","8.741.416,55",DATAPREV (Cancelado)
,03.706.936/0001-20,,,,,,MACHADO MEYER SENDACZ OPICE E ANDRADE ADVOGADOS,,,Não,,,"22,67%",,"1.981.679,13",,
,96.534.094/0001-58,,,,,,ACCENTURE DO BRASIL LTDA,,,Sim,,,"72,49%",,"6.336.652,86",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004530.zip,00.641.556/0001-67,41.356.918/0001-55,,Sim,CONSORCIO GRANT THORNTON VR,19/04/2021,"VIEIRA, REZENDE E GUERREIRO ADVOGADOS",,02/01/2024,Não,0021/2021,Contratação de serviços necessários para a realização dos estudos relativos à desestatização do Serpro e da Dataprev - Serviço B.,"25,36%",Serviço B,"963.172,80","3.798.000,00",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004530.zip,13.045.248/0001-10,41.356.918/0001-55,,Sim,CONSORCIO GRANT THORNTON VR,19/04/2021,GRANT THORNTON AUDITORIA E CONSULTORIA LTDA.,,02/01/2024,Sim,0021/2021,Contratação de serviços necessários para a realização dos estudos relativos à desestatização do Serpro e da Dataprev - Serviço B.,"74,64%",Serviço B,"2.834.827,20","3.798.000,00",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002422.zip,05.097.487/0001-96,05.097.487/0001-96,MINISTERIO DA FAZENDA,Não,CERES INTELIGENCIA FINANCEIRA LTDA,14/02/2017,CERES INTELIGENCIA FINANCEIRA LTDA,Federal,13/02/2019,Não,0027/2017,"CONTRATAÇÃO DE SERVIÇOS NECESSÁRIOS PARA A DESESTATIZAÇÃO DAS SEGUINTES EMPRESAS: CEPISA, CEAL, ELETROACRE, CERON, BOA VISTA ENERGIA, AMAZONAS ENERGIA, CONFORME AS ESPECIFICAÇÕES DO EDITAL E DE SEUS ANEXOS.","100,00%",Serviço A,"2.229.000,03","2.229.000,03","DISTRIBUIDORAS FEDERALIZADAS (CEPISA, CEAL, CERON, ELETROACRE, AMAZONAS ENERGIA e BOA VISTA ENERGIA)"
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002423.zip,60.527.520/0001-89,26.960.296/0001-86,,Não,CONSORCIO MAIS ENERGIA B,14/02/2017,"LOESER, BLANCHET E HADAD ADVOGADOS",,13/02/2020,Não,0028/2017,"CONTRATAÇÃO DE SERVIÇOS NECESSÁRIOS PARA A DESESTATIZAÇÃO DAS SEGUINTES EMPRESAS: CEPISA, CEAL, ELETROACRE, CERON, BOA VISTA ENERGIA, AMAZONAS ENERGIA, CONFORME AS ESPECIFICAÇÕES DO EDITAL E DE SEUS ANEXOS.","20,00%",Serviço B,"3.589.914,15","17.949.570,76",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002423.zip,02.646.397/0001-19,26.960.296/0001-86,,Não,CONSORCIO MAIS ENERGIA B,14/02/2017,PRICEWATERHOUSECOOPERS SERVICOS PROFISSIONAIS LTDA.,,13/02/2020,Não,0028/2017,"CONTRATAÇÃO DE SERVIÇOS NECESSÁRIOS PARA A DESESTATIZAÇÃO DAS SEGUINTES EMPRESAS: CEPISA, CEAL, ELETROACRE, CERON, BOA VISTA ENERGIA, AMAZONAS ENERGIA, CONFORME AS ESPECIFICAÇÕES DO EDITAL E DE SEUS ANEXOS.","20,50%",Serviço B,"3.679.662,01","17.949.570,76",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002423.zip,05.396.538/0001-80,26.960.296/0001-86,,Não,CONSORCIO MAIS ENERGIA B,14/02/2017,SIGLASUL CONSULTORIA LTDA,,13/02/2020,Não,0028/2017,"CONTRATAÇÃO DE SERVIÇOS NECESSÁRIOS PARA A DESESTATIZAÇÃO DAS SEGUINTES EMPRESAS: CEPISA, CEAL, ELETROACRE, CERON, BOA VISTA ENERGIA, AMAZONAS ENERGIA, CONFORME AS ESPECIFICAÇÕES DO EDITAL E DE SEUS ANEXOS.","11,50%",Serviço B,"2.064.200,64","17.949.570,76",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002423.zip,05.487.514/0001-37,26.960.296/0001-86,,Não,CONSORCIO MAIS ENERGIA B,14/02/2017,PRICEWATERHOUSECOOPERS CORPORATE FINANCE & RECOVERY LTDA,,13/02/2020,Sim,0028/2017,"CONTRATAÇÃO DE SERVIÇOS NECESSÁRIOS PARA A DESESTATIZAÇÃO DAS SEGUINTES EMPRESAS: CEPISA, CEAL, ELETROACRE, CERON, BOA VISTA ENERGIA, AMAZONAS ENERGIA, CONFORME AS ESPECIFICAÇÕES DO EDITAL E DE SEUS ANEXOS.","48,00%",Serviço B,"8.615.793,96","17.949.570,76",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002703.zip,33.179.672/0001-65,33.179.672/0001-65,,Não,LOUDON BLOMQUIST - AUDITORES INDEPENDENTES,04/07/2017,LOUDON BLOMQUIST - AUDITORES INDEPENDENTES,,03/07/2020,Não,0288/2017,SERVIÇO DE AUDITORIA DO PROCESSO DE DESESTATIZAÇÃO,"100,00%",Auditoria,"1.254.363,42","1.254.363,42",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400003105.zip,09.346.601/0001-25,09.346.601/0001-25,,Não,"B3 S.A. - BRASIL, BOLSA, BALCAO",04/04/2018,"B3 S.A. - BRASIL, BOLSA, BALCAO",,03/04/2020,Não,0080/2018,Assessoria técnica especializada e apoio operacional e consultivo.,"100,00%",Leilão,"1.325.691,31","1.325.691,31",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004622.zip,45.246.410/0001-55,43.261.751/0001-74,MINISTERIO DE MINAS E ENERGIA,Não,CONSORCIO NOVA ELETROBRAS,27/05/2021,BANCO GENIAL S.A.,Federal,26/05/2024,Não,0084/2021,"Contratação dos serviços de Due Diligence Contábil-Patrimonial, Due Diligence Jurídica, Relatório de Premissas e Avaliação Econômico-Financeira (“Serviço B”) da Centrais Elétricas Brasileiras S.A. (“Empresa” ou “ELETROBRAS”)., conforme detalhamento no processo de seleção da RFP nº 09/2021 AED-BNDES.","25,00%",Serviço B,"1.494.444,44","5.977.777,77",ELETROBRAS
,57.756.694/0001-09,,,,,,LEFOSSE ADVOGADOS,,,Não,,,"21,70%",,"1.297.177,78",,
,17.079.154/0001-13,,,,,,THYMOS ENERGIA ENGENHARIA E CONSULTORIA LTDA,,,Não,,,"20,00%",,"1.195.555,55",,
,54.276.936/0001-79,,,,,,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES,,,Sim,,,"33,30%",,"1.990.600,00",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004677.zip,10.487.157/0001-47,10.487.157/0001-47,,Não,BR PARTNERS ASSESSORIA FINANCEIRA LTDA.,08/07/2021,BR PARTNERS ASSESSORIA FINANCEIRA LTDA.,,07/07/2024,Sim,0138/2021,"Contratação de serviços de Avaliação Econômico-Financeira da Centrais Elétricas Brasileiras S.A., da Eletronuclear e de Itaipu do Processo de Desestatização (“Serviço A”) da Centrais Elétricas Brasileiras S.A. (ELETROBRAS).","100,00%",Serviço A,"555.020,21","555.020,21",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004973.zip,13.098.174/0001-80,13.098.174/0001-80,,Não,RUSSELL BEDFORD GM AUDITORES INDEPENDENTES S/S,01/04/2022,RUSSELL BEDFORD GM AUDITORES INDEPENDENTES S/S,,31/03/2024,Sim,0047/2022,Contratação de serviços de auditoria externa independente para o acompanhamento e a fiscalização do processo de desestatização das Centrais Elétricas Brasileiras S/A - Eletrobras,"100,00%",Auditoria,"173.700,00","173.700,00",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005876.zip,00.839.683/0001-75,54.823.426/0001-74,MUNICIPIO DE CURITIBA,Sim,CONSORCIO OFICINA-TYLIN-RHEIN-ADDAX,05/04/2024,ADDAX ASSESSORIA ECONOMICA E FINANCEIRA LTDA,Municipal,04/04/2026,Não,0110/2024,"A execução dos SERVIÇOS TÉCNICOS, o que inclui a elaboração de PRODUTOS e a prestação de SERVIÇOS ESPECIALIZADOS, necessários para apoiar o BNDES na estruturação do PROJETO, observado ainda o detalhamento constante das ESPECIFICAÇÕES TÉCNICAS, da PROPOSTA COMERCIAL, da MATRIZ DE RISCOS e da TABELA DE PRODUTOS e SERVIÇOS.","14,60%",Serviço Único,"730.677,65","5.004.641,47",ELETROMOBILIDADE CURITIBA - LOTE BRT1
,16.721.366/0001-90,,,,,,"RHEIN SCHIRATO, MEIRELES SOCIEDADE DE ADVOGADOS",,,Não,,,"13,80%",,"690.640,52",,
,65.518.540/0001-07,,,,,,TYLIN BRAZIL LTDA,,,Não,,,"29,90%",,"1.496.387,80",,
,57.349.904/0001-44,,,,,,OFICINA - ENGENHEIROS CONSULTORES ASSOCIADOS LTDA.,,,Sim,,,"41,70%",,"2.086.935,49",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005876.zip,00.839.683/0001-75,54.823.426/0001-74,MUNICIPIO DE CURITIBA,Sim,CONSORCIO OFICINA-TYLIN-RHEIN-ADDAX,05/04/2024,ADDAX ASSESSORIA ECONOMICA E FINANCEIRA LTDA,Municipal,04/04/2026,Não,0110/2024,"A execução dos SERVIÇOS TÉCNICOS, o que inclui a elaboração de PRODUTOS e a prestação de SERVIÇOS ESPECIALIZADOS, necessários para apoiar o BNDES na estruturação do PROJETO, observado ainda o detalhamento constante das ESPECIFICAÇÕES TÉCNICAS, da PROPOSTA COMERCIAL, da MATRIZ DE RISCOS e da TABELA DE PRODUTOS e SERVIÇOS.","14,60%",Serviço Único,"730.677,65","5.004.641,47",ELETROMOBILIDADE CURITIBA - LOTE BRT2
,16.721.366/0001-90,,,,,,"RHEIN SCHIRATO, MEIRELES SOCIEDADE DE ADVOGADOS",,,Não,,,"13,80%",,"690.640,52",,
,65.518.540/0001-07,,,,,,TYLIN BRAZIL LTDA,,,Não,,,"29,90%",,"1.496.387,80",,
,57.349.904/0001-44,,,,,,OFICINA - ENGENHEIROS CONSULTORES ASSOCIADOS LTDA.,,,Sim,,,"41,70%",,"2.086.935,49",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005876.zip,00.839.683/0001-75,54.823.426/0001-74,MUNICIPIO DE CURITIBA,Sim,CONSORCIO OFICINA-TYLIN-RHEIN-ADDAX,05/04/2024,ADDAX ASSESSORIA ECONOMICA E FINANCEIRA LTDA,Municipal,04/04/2026,Não,0110/2024,"A execução dos SERVIÇOS TÉCNICOS, o que inclui a elaboração de PRODUTOS e a prestação de SERVIÇOS ESPECIALIZADOS, necessários para apoiar o BNDES na estruturação do PROJETO, observado ainda o detalhamento constante das ESPECIFICAÇÕES TÉCNICAS, da PROPOSTA COMERCIAL, da MATRIZ DE RISCOS e da TABELA DE PRODUTOS e SERVIÇOS.","14,60%",Serviço Único,"730.677,65","5.004.641,47",ELETROMOBILIDADE CURITIBA - LOTE NORTE
,16.721.366/0001-90,,,,,,"RHEIN SCHIRATO, MEIRELES SOCIEDADE DE ADVOGADOS",,,Não,,,"13,80%",,"690.640,52",,
,65.518.540/0001-07,,,,,,TYLIN BRAZIL LTDA,,,Não,,,"29,90%",,"1.496.387,80",,
,57.349.904/0001-44,,,,,,OFICINA - ENGENHEIROS CONSULTORES ASSOCIADOS LTDA.,,,Sim,,,"41,70%",,"2.086.935,49",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005876.zip,00.839.683/0001-75,54.823.426/0001-74,MUNICIPIO DE CURITIBA,Sim,CONSORCIO OFICINA-TYLIN-RHEIN-ADDAX,05/04/2024,ADDAX ASSESSORIA ECONOMICA E FINANCEIRA LTDA,Municipal,04/04/2026,Não,0110/2024,"A execução dos SERVIÇOS TÉCNICOS, o que inclui a elaboração de PRODUTOS e a prestação de SERVIÇOS ESPECIALIZADOS, necessários para apoiar o BNDES na estruturação do PROJETO, observado ainda o detalhamento constante das ESPECIFICAÇÕES TÉCNICAS, da PROPOSTA COMERCIAL, da MATRIZ DE RISCOS e da TABELA DE PRODUTOS e SERVIÇOS.","14,60%",Serviço Único,"730.677,65","5.004.641,47",ELETROMOBILIDADE CURITIBA - LOTE OESTE
,16.721.366/0001-90,,,,,,"RHEIN SCHIRATO, MEIRELES SOCIEDADE DE ADVOGADOS",,,Não,,,"13,80%",,"690.640,52",,
,65.518.540/0001-07,,,,,,TYLIN BRAZIL LTDA,,,Não,,,"29,90%",,"1.496.387,80",,
,57.349.904/0001-44,,,,,,OFICINA - ENGENHEIROS CONSULTORES ASSOCIADOS LTDA.,,,Sim,,,"41,70%",,"2.086.935,49",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005876.zip,00.839.683/0001-75,54.823.426/0001-74,MUNICIPIO DE CURITIBA,Sim,CONSORCIO OFICINA-TYLIN-RHEIN-ADDAX,05/04/2024,ADDAX ASSESSORIA ECONOMICA E FINANCEIRA LTDA,Municipal,04/04/2026,Não,0110/2024,"A execução dos SERVIÇOS TÉCNICOS, o que inclui a elaboração de PRODUTOS e a prestação de SERVIÇOS ESPECIALIZADOS, necessários para apoiar o BNDES na estruturação do PROJETO, observado ainda o detalhamento constante das ESPECIFICAÇÕES TÉCNICAS, da PROPOSTA COMERCIAL, da MATRIZ DE RISCOS e da TABELA DE PRODUTOS e SERVIÇOS.","14,60%",Serviço Único,"730.677,65","5.004.641,47",ELETROMOBILIDADE CURITIBA - LOTE SUL
,16.721.366/0001-90,,,,,,"RHEIN SCHIRATO, MEIRELES SOCIEDADE DE ADVOGADOS",,,Não,,,"13,80%",,"690.640,52",,
,65.518.540/0001-07,,,,,,TYLIN BRAZIL LTDA,,,Não,,,"29,90%",,"1.496.387,80",,
,57.349.904/0001-44,,,,,,OFICINA - ENGENHEIROS CONSULTORES ASSOCIADOS LTDA.,,,Sim,,,"41,70%",,"2.086.935,49",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004557.zip,68.809.318/0001-51,37.652.388/0001-15,MINISTERIO DA FAZENDA,Não,CONSORCIO EY / TAUIL & CHEQUER,13/02/2020,TAUIL E CHEQUER ADVOGADOS,Federal,12/02/2023,Não,0046/2020,"Contratação de serviços técnicos necessários para a estruturação de projeto relativo à desestatização da Empresa Gestora de Ativos S.A. – EMGEA, denominado SERVIÇO A (precificação das carteiras de crédito, aprofundamento de análise para determinados créditos e imóveis, e avaliação econômico-financeira da EMGEA).","25,00%",Serviço A,"632.665,81","2.530.663,22",EMGEA
,59.527.788/0001-31,,,,,,ERNST & YOUNG ASSESSORIA EMPRESARIAL LTDA,,,Sim,,,"75,00%",,"1.897.997,42",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004574.zip,60.527.520/0001-89,36.700.008/0001-08,,Não,CONSORCIO RECUPERA,13/02/2020,"LOESER, BLANCHET E HADAD ADVOGADOS",,12/02/2023,Não,0047/2020,"Contratação de serviços técnicos necessários para a estruturação de projeto relativo à desestatização da Empresa Gestora de Ativos S.A. – EMGEA, denominado SERVIÇO B (precificação das carteiras de crédito, due diligence, avaliação dos recursos humanos, gestão e governança, e avaliação econômico-financeira da EMGEA).","10,66%",Serviço B,"172.203,23","1.615.414,94",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004574.zip,02.646.397/0001-19,36.700.008/0001-08,,Não,CONSORCIO RECUPERA,13/02/2020,PRICEWATERHOUSECOOPERS SERVICOS PROFISSIONAIS LTDA.,,12/02/2023,Não,0047/2020,"Contratação de serviços técnicos necessários para a estruturação de projeto relativo à desestatização da Empresa Gestora de Ativos S.A. – EMGEA, denominado SERVIÇO B (precificação das carteiras de crédito, due diligence, avaliação dos recursos humanos, gestão e governança, e avaliação econômico-financeira da EMGEA).","3,22%",Serviço B,"52.016,36","1.615.414,94",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004574.zip,61.562.112/0001-20,36.700.008/0001-08,,Não,CONSORCIO RECUPERA,13/02/2020,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES,,12/02/2023,Sim,0047/2020,"Contratação de serviços técnicos necessários para a estruturação de projeto relativo à desestatização da Empresa Gestora de Ativos S.A. – EMGEA, denominado SERVIÇO B (precificação das carteiras de crédito, due diligence, avaliação dos recursos humanos, gestão e governança, e avaliação econômico-financeira da EMGEA).","86,12%",Serviço B,"1.391.195,35","1.615.414,94",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004575.zip,21.976.490/0001-36,37.783.443/0001-06,,Não,CONSORCIO XP-MADRONA,13/02/2020,MADRONA SOCIEDADE DE ADVOGADOS,,12/02/2023,Não,0048/2020,"Contratação de serviços técnicos necessários para a estruturação de projeto relativo à desestatização da Empresa Gestora de Ativos S.A. – EMGEA, denominado SERVIÇO C (proposição da modelagem de desestatização, execução da desestatização, bem como assessorias técnica e jurídica de natureza contínua).","50,00%",Serviço C,"492.110,98","984.221,96",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004575.zip,30.822.339/0001-34,37.783.443/0001-06,,Não,CONSORCIO XP-MADRONA,13/02/2020,RIZA M&A ASSESSORIA EMPRESARIAL LTDA.,,12/02/2023,Sim,0048/2020,"Contratação de serviços técnicos necessários para a estruturação de projeto relativo à desestatização da Empresa Gestora de Ativos S.A. – EMGEA, denominado SERVIÇO C (proposição da modelagem de desestatização, execução da desestatização, bem como assessorias técnica e jurídica de natureza contínua).","50,00%",Serviço C,"492.110,98","984.221,96",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004820.zip,09.285.766/0001-34,09.285.766/0001-34,,Não,MOREIRA ASSOCIADOS AUDITORES INDEPENDENTES S/S,31/01/2022,MOREIRA ASSOCIADOS AUDITORES INDEPENDENTES S/S,,30/01/2024,Não,0242/2021,"Serviços de auditoria externa independente para acompanhamento e a fiscalização de até 5 (cinco) processos de cessão de carteiras de créditos e imóveis de propriedade da Empresa Gestora de Ativos S.A. (“EMGEA”), no âmbito da desestatização da Companhia.","100,00%",Auditoria,"316.800,00","316.800,00",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004772.zip,06.229.883/0001-92,44.212.171/0001-50,ESTADO DO ESPIRITO SANTO,Não,CONSORCIO GENIAL-GAS,18/10/2021,QUANTUM DO BRASIL LTDA,Estadual,17/10/2023,Não,0211/2021,"Prestação  dos serviços de Avaliação Econômico-Financeira, Due Diligence Jurídica, Due Diligence Contábil - Patrimonial, Diagnóstico Técnico Operacional, de Recursos Humanos e Socioambiental, Plano de Negócios, Modelagem da Desestatização e Outros Serviços Profissionais Especializados.","26,80%",Serviço B,"847.521,02","3.162.391,87",ES GÁS
,01.795.309/0001-88,,,,,,VEIRANO ADVOGADOS,,,Não,,,"23,20%",,"733.674,91",,
,45.246.410/0001-55,,,,,,BANCO GENIAL S.A.,,,Sim,,,"50,00%",,"1.581.195,94",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004838.zip,11.985.753/0001-10,45.105.975/0001-12,,Não,CONSORCIO BRLMDM ESGAS,19/01/2022,L.M.D.M. - CONSULTORIA EMPRESARIAL LTDA,,18/01/2024,Não,0259/2021,"processo seletivo para a contratação do Serviço A no âmbito do Projeto de Desestatização da Companhia de Gás do Estado do Espírito Santo (“ES GÁS”), com o objetivo de executar o serviço de Avaliação Econômico-Financeira","50,00%",Serviço A,"111.886,90","223.773,80",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004838.zip,10.487.157/0001-47,45.105.975/0001-12,,Não,CONSORCIO BRLMDM ESGAS,19/01/2022,BR PARTNERS ASSESSORIA FINANCEIRA LTDA.,,18/01/2024,Sim,0259/2021,"processo seletivo para a contratação do Serviço A no âmbito do Projeto de Desestatização da Companhia de Gás do Estado do Espírito Santo (“ES GÁS”), com o objetivo de executar o serviço de Avaliação Econômico-Financeira","50,00%",Serviço A,"111.886,90","223.773,80",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005163.zip,09.720.550/0001-50,48.544.026/0001-27,INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE,Não,CONSORCIO PSA E CREDITOS DE CARBONO,02/09/2022,BIOFILICA AMBIPAR ENVIRONMENTAL INVESTMENTS S/A.,Federal,01/09/2024,Não,0216/2022,"Elaboração de estudo setorial e diagnóstico para proposição de arcabouços jurídico, regulatório, mercadológico e institucional, bem como definição de requisitos para análise de pré-viabilidade de concessão de ativos ambientais federais com receita oriunda de Pagamento por Serviço Ambiental (PSA), especialmente de crédito de carbono florestal.","50,00%",Serviço Único,"170.000,00","340.000,00",FEP CONCESSÃO PSA
,68.809.318/0001-51,,,,,,TAUIL E CHEQUER ADVOGADOS,,,Sim,,,"50,00%",,"170.000,00",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004761.zip,03.483.859/0001-97,44.271.208/0001-10,INSTITUTO BRASILEIRO DE MUSEUS - IBRAM,Não,CONSORCIO PARA O FUNDO PATRIMONIAL DO IBRAM,04/10/2021,INSTITUTO PARA O DESENVOLVIMENTO DO INVESTIMENTO SOCIAL - IDIS,Federal,01/07/2026,Não,0205/2021,"Elaboração de estudos técnicos e execução de serviços especializados necessários a execução da modelagem de fundo patrimonial desenvolvida pelo BNDES no âmbito do Acordo de Cooperação Técnica nº 20.2.0316.1, celebrado com o IBRAM – Instituto Brasileiro de Museus, conforme especificações constantes do Projeto Básico e da proposta apresentada pelo contratado.","31,10%",Serviço Único,"206.988,09","665.556,57",FEP FUNDO PATRIMONIAL DOS MUSEUS BRASILEIROS
,59.586.339/0001-64,,,,,,"POMPEU, LONGO & KIGNEL ADVOGADOS",,,Não,,,"33,00%",,"219.633,67",,
,05.029.938/0001-58,,,,,,LEVISKY NEGOCIOS & CULTURA LTDA,,,Sim,,,"35,90%",,"238.934,81",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005208.zip,02.807.315/0001-70,49.634.085/0001-59,MUNICIPIO DE RIO DE JANEIRO,Não,CONSORCIO CONEXAO RIO,07/03/2023,EBP BRASIL GESTAO AMBIENTAL LTDA,Municipal,06/05/2024,Não,0275/2022,Prestação dos serviços de elaboração de estudos técnicos e execução de serviços especializados necessários para apoiar o Projeto de desenvolvimento de uma visão de futuro para a região central da Cidade do Rio de Janeiro com foco nos ativos imobiliários públicos.,"18,95%",Serviço Único,"396.799,99","2.094.200,00",FEP IMÓVEIS RJ
,10.910.043/0001-68,,,,,,FINARQ - CONSULTORIA EM ARQUITETURA LTDA.,,,Não,,,"41,48%",,"868.725,01",,
,08.583.489/0001-83,,,,,,"PORTO MARINHO, CENARIOS, ESTRATEGIAS E TECNOLOGIA DA INFORMACAO LTDA",,,Não,,,"3,55%",,"74.250,01",,
,00.641.556/0001-67,,,,,,"VIEIRA, REZENDE E GUERREIRO ADVOGADOS",,,Não,,,"14,54%",,"304.425,00",,
,03.552.499/0001-38,,,,,,URBAN SYSTEMS BRASIL ESTUDOS DE MERCADO LTDA,,,Sim,,,"21,49%",,"450.000,00",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005908.zip,05.093.144/0001-53,55.548.638/0001-53,MINISTERIO DAS CIDADES,Não,BAIN/ LOGIT / TYLIN/ OFICINA/ MACHADO MEYER,10/05/2024,LOGIT ENGENHARIA CONSULTIVA LTDA,Federal,09/05/2028,Não,0151/2024,"Execução dos SERVIÇOS TÉCNICOS, o que inclui a elaboração das ENTREGAS e a prestação de SERVIÇOS ESPECIALIZADOS, necessários para apoiar o BNDES na realização do Estudo Nacional de Mobilidade Urbana: Desenvolvimento do Transporte Público de Média e Alta Capacidades nas principais Regiões Metropolitanas do país (ESTUDO NACIONAL ou PROJETO), observado ainda o detalhamento constante das ESPECIFICAÇÕES TÉCNICAS, da PROPOSTA COMERCIAL, da MATRIZ DE RISCOS e da TABELA DE PRODUTOS e SERVIÇOS.","16,16%",Serviço Único,"5.348.431,80","33.096.731,44",FEP MOBILIDADE URBANA
,03.706.936/0001-20,,,,,,MACHADO MEYER SENDACZ OPICE E ANDRADE ADVOGADOS,,,Não,,,"8,62%",,"2.852.938,25",,
,57.349.904/0001-44,,,,,,OFICINA - ENGENHEIROS CONSULTORES ASSOCIADOS LTDA.,,,Não,,,"18,86%",,"6.242.043,55",,
,65.518.540/0001-07,,,,,,TYLIN BRAZIL LTDA,,,Não,,,"16,16%",,"5.348.431,80",,
,02.194.588/0001-97,,,,,,BAIN BRASIL LTDA,,,Sim,,,"29,63%",,"9.806.561,53",,
