codigo,objeto,nome,data,agencia,referencia,pais,valor
104848,FRAME AGREEMENT FOR THE PROVISION OF UNHCR PUBLIC SECTOR PARTNERSHIP (PSP) – GLOBAL DRN SALESFORCE PARTNERSHIP,Pracedo Ltd,20-Apr-18,UNHCR,RFP/2017/1041,Multiple destinations,
103915,The provision of branding services to OHCHR GENEVA,Purpose Global PBC,13-Mar-18,UN Secretariat,UNOG 2018-4700013925,Multiple destinations,383500
104104,Safety & Security Awareness Tracking Mobile App for iOS/ Android (LOT1),Securaxis,5-Feb-18,UNOPS,ITB/2017/1309,Multiple destinations,
103768,FRAME AGREEMENT FOR THE PROVISION OF MARKET DEVELOPMENT AND FUNDRAISING STRATEGY,The Management Centre,29-Jan-18,UNHCR,RFP/2017/888,Multiple destinations,
103769,FRAME AGREEMENT FOR THE PROVISION OF MARKET DEVELOPMENT AND FUNDRAISING STRATEGY,Daryl Upsall & Associates SL,5-Jan-18,UNHCR,RFP/2017/888,Multiple destinations,
103766,AGREEMENT FOR DIGITAL PRESERVATION SYSTEM,Arkivum Ltd,15-Dec-17,UNHCR,RFP/2017/877,Multiple destinations,
103468,PROVISION OF BRAND MEASUREMENT AND STRATEGY SERVICES,ipsos,27-Nov-17,UNHCR,RFP/2017/848,Multiple destinations,
104048,LTA 17/587 for testing male condoms,Family Health International 360,27-Oct-17,UNFPA,UNFPA/DNK/RFP/17/010,Multiple destinations,
103548,LTA for testing male and female condoms,ENERSOL,20-Oct-17,UNFPA,UNFPA/DNK/RFP/17/010,Multiple destinations,
111049,The provision of on-call intrusive surveys,PRAS Tecnica Edilizia Srl,2-Oct-17,UN Secretariat,UNOG2017-4700012163,Multiple destinations,11183975
