codigo,objeto,nome,data,agencia,referencia,pais,valor
136318,Acordo de Longo Prazo (LTA) para contratação de pessoa jurídica para apoiar as ações de acompanhamento da agenda legislativa do Congresso Nacional e monitoramento das principais atividades de ministérios selecionados do Executivo Federal,PULSO PÚBLICO Assessoria e Consultoria LTDA,26-Jun-23,UNICEF,LRPS-2023-9182236,Brazil,
136669,"REQUEST FOR PROPOSAL (RFP) Provision of Sampling and Inspection Services for condoms, personal lubricants and copper IUDs RFP Reference No.: UNFPA/DNK/RFP/22/009",Intertek Italia SpA,26-Jun-23,UNFPA,UNFPA/DNK/RFP/22/009,Multiple destinations,
136669,"REQUEST FOR PROPOSAL (RFP) Provision of Sampling and Inspection Services for condoms, personal lubricants and copper IUDs RFP Reference No.: UNFPA/DNK/RFP/22/009",Baltic Control A/S,26-Jun-23,UNFPA,UNFPA/DNK/RFP/22/009,Multiple destinations,
136669,"REQUEST FOR PROPOSAL (RFP) Provision of Sampling and Inspection Services for condoms, personal lubricants and copper IUDs RFP Reference No.: UNFPA/DNK/RFP/22/009",VIGLIENZONE ADRIATICA S.R.L.,26-Jun-23,UNFPA,UNFPA/DNK/RFP/22/009,Multiple destinations,
136282,Contratação de serviço de consultoria estratégica para engajamento do setor privado na iniciativa Um Milhão de Oportunidades (1MiO),CASA CAUSE AGENCIA DE INFORMAÇÃO LTDA,14-Jun-23,UNICEF,LRPS-2023-9181542,Brazil,
135463,"EXTENDED - Global study on the economic, fiscal and social cost of out-of-school children and young people’s disengagement from education",BRUNELLO Giorgio,7-Apr-23,UNESCO,RFP/ED/E30/IGE/10/2022,Multiple destinations,32103.11
135917,Acordo de Longo Prazo (LTA - Long Term Agreement) para serviço de tecnologia e comunicação para realizar monitoramento do ambiente digital (social listening),FILIPE M.C.B.G. PASCOA TREINAMENTO E CONSULTORIA,6-Apr-23,UNICEF,LRPS-2022-9176466,Brazil,
135040,Lot 3 (RFP/17/2022/JUG) Graphic Design for Other Publications,Blossom Srl,13-Mar-23,ILO,rfx_25,Multiple destinations,
135040,Lot 3 (RFP/17/2022/JUG) Graphic Design for Other Publications,By Facility S.L,13-Mar-23,ILO,rfx_25,Multiple destinations,
135040,Lot 3 (RFP/17/2022/JUG) Graphic Design for Other Publications,e-mage di Maurizio Costanza,13-Mar-23,ILO,rfx_25,Multiple destinations,
135040,Lot 3 (RFP/17/2022/JUG) Graphic Design for Other Publications,"Missing Element, spol. s r.o.",13-Mar-23,ILO,rfx_25,Multiple destinations,
135040,Lot 3 (RFP/17/2022/JUG) Graphic Design for Other Publications,The Visual Agency srl,13-Mar-23,ILO,rfx_25,Multiple destinations,
135041,Lot 2 (RFP/17/2022/JUG) Layout and Typesetting for Strategic Publications,Blossom Srl,13-Mar-23,ILO,rfx_24,Multiple destinations,
135041,Lot 2 (RFP/17/2022/JUG) Layout and Typesetting for Strategic Publications,By Facility S.L,13-Mar-23,ILO,rfx_24,Multiple destinations,
135041,Lot 2 (RFP/17/2022/JUG) Layout and Typesetting for Strategic Publications,"Missing Element, spol. s r.o.",13-Mar-23,ILO,rfx_24,Multiple destinations,
135042,Lot 1 (RFP/17/2022/JUG) Conceptual Design for Strategic Publications,Blossom Srl,13-Mar-23,ILO,rfx_20,Multiple destinations,
135042,Lot 1 (RFP/17/2022/JUG) Conceptual Design for Strategic Publications,Future by Design d.o.o. Novi Sad,13-Mar-23,ILO,rfx_20,Multiple destinations,
134595,Product Innovation and Solution Development around Fundraising,Hellon limited,16-Jan-23,UNICEF,UNICEF-PFP-RFPS-503491,Multiple destinations,
134595,Product Innovation and Solution Development around Fundraising,WhatAVenture GmbH,16-Jan-23,UNICEF,UNICEF-PFP-RFPS-503491,Multiple destinations,
134595,Product Innovation and Solution Development around Fundraising,"Byld Startups, S.L.",16-Jan-23,UNICEF,UNICEF-PFP-RFPS-503491,Multiple destinations,
134595,Product Innovation and Solution Development around Fundraising,Sopra Steria AS,16-Jan-23,UNICEF,UNICEF-PFP-RFPS-503491,Multiple destinations,
134595,Product Innovation and Solution Development around Fundraising,Wunderman JWT Portugal,16-Jan-23,UNICEF,UNICEF-PFP-RFPS-503491,Multiple destinations,
134595,Product Innovation and Solution Development around Fundraising,Ipsos UK Ltd,16-Jan-23,UNICEF,UNICEF-PFP-RFPS-503491,Multiple destinations,
134595,Product Innovation and Solution Development around Fundraising,"Blue State Digital, Inc.",16-Jan-23,UNICEF,UNICEF-PFP-RFPS-503491,Multiple destinations,
134595,Product Innovation and Solution Development around Fundraising,TheVentury Gmbh,16-Jan-23,UNICEF,UNICEF-PFP-RFPS-503491,Multiple destinations,
134595,Product Innovation and Solution Development around Fundraising,MAIZE S.R.L.,16-Jan-23,UNICEF,UNICEF-PFP-RFPS-503491,Multiple destinations,
134595,Product Innovation and Solution Development around Fundraising,capgemini consulting,16-Jan-23,UNICEF,UNICEF-PFP-RFPS-503491,Multiple destinations,
134595,Product Innovation and Solution Development around Fundraising,Zühlke Engineering (Austria) GmbH,16-Jan-23,UNICEF,UNICEF-PFP-RFPS-503491,Multiple destinations,
134595,Product Innovation and Solution Development around Fundraising,Accenture AG,16-Jan-23,UNICEF,UNICEF-PFP-RFPS-503491,Multiple destinations,
134595,Product Innovation and Solution Development around Fundraising,Deloitte Consulting AG,16-Jan-23,UNICEF,UNICEF-PFP-RFPS-503491,Multiple destinations,
136209,"Acordo de Longo Prazo (LTA) - Serviços de telemarketing ativo e receptivo, via troca de mensagens e processamento de dados para cobrança das doações.",Sercom Servicos Digitais Ltda,10-Jan-23,UNICEF,LRPS 2022 9178737,Brazil,
136209,"Acordo de Longo Prazo (LTA) - Serviços de telemarketing ativo e receptivo, via troca de mensagens e processamento de dados para cobrança das doações.",ESTILO TELEMARKETING E CONSULTORIA LTDA,10-Jan-23,UNICEF,LRPS 2022 9178737,Brazil,
134614,LTA for Use of Unmanned Aerial Systems (UAS) for Disaster Preparedness and Disaster Response in Malawi,GLOBHE,15-Dec-22,UNICEF,9165345,Multiple destinations,
134614,LTA for Use of Unmanned Aerial Systems (UAS) for Disaster Preparedness and Disaster Response in Malawi,Swoop Aero Pty Ltd,15-Dec-22,UNICEF,9165345,Multiple destinations,
134614,LTA for Use of Unmanned Aerial Systems (UAS) for Disaster Preparedness and Disaster Response in Malawi,RSS-Hydro,15-Dec-22,UNICEF,9165345,Multiple destinations,
133928,"International consultancy to examine short-term and intermediate learning, health and social outcomes of CSE","The Torchlight Collective, LLC",14-Dec-22,UNESCO,RFP/ED/HAE/21/007,Multiple destinations,306320.01
132834,Contrato institucional para conduzir uma pesquisa remota e presencial (quanti/quali) com adolescentes e jovens vivendo com HIV ou com outras infecções sexualmente transmissíveis,Oportunidades Estudos Sociais Espírito Santo Ltda. -ME,27-Oct-22,UNICEF,LRPS-2022-9177460,Brazil,
132680,Contrato institucional para conduzir pesquisa domiciliar via telefone sobre os impactos primários e secundários da COVID-19 na saúde de famílias e crianças brasileiras,INTELIGENCIA EM PESQUISA E CONSULTORIA LTDA,24-Oct-22,UNICEF,LRPS-2022-9177579,Brazil,
132249,"Contratação de serviço para elaboração de estudo CAP (conhecimentos, atitudes e práticas) sobre xenofobia e discriminação contra refugiados e migrantes da Venezuela em Boa Vista, Pacaraima e Manaus",Plan Consultoria e Pesquisa em Cienciais Sociais Ltda EPP,19-Sep-22,UNICEF,LRPS-2022-9174337,Brazil,
132251,"Contratação de empresa/instituição para realizar um diagnóstico rápido sobre a garantia de direitos de crianças e adolescentes nos municípios de Belém/PA, São Luís/MA e Manaus/AM, no âmbito do programa Agenda Cidade UNICEF.",Tewá 225 Projetos ME,13-Sep-22,UNICEF,LRPS-2022-9176265,Brazil,
132110,Contratação de serviços especializados para execução de obra para construção de banheiro público em regime de empreitada global.,L Ferreira Lopes Eireli Me,31-Aug-22,UNICEF,LRPS-2022-9175367,Brazil,
131793,Development and Support Services for Adobe Commerce Cloud (Magento),e-Zest Solutions Inc.,23-Aug-22,ICAO,ICAO/00045,Multiple destinations,38600
131778,"Acordo de Longo Prazo (LTA) para a criação e produção de peças e campanhas de marketing, captação de recursos e prospecção de legados",Greenhouse - (Bodytype Criação Ltda),23-Aug-22,UNICEF,LRPS-2022-9175666,Brazil,
131778,"Acordo de Longo Prazo (LTA) para a criação e produção de peças e campanhas de marketing, captação de recursos e prospecção de legados",Reputale Comunicação Ltda,23-Aug-22,UNICEF,LRPS-2022-9175666,Brazil,
131778,"Acordo de Longo Prazo (LTA) para a criação e produção de peças e campanhas de marketing, captação de recursos e prospecção de legados",Máquina Do Bem,23-Aug-22,UNICEF,LRPS-2022-9175666,Brazil,
131780,Acordo de Longo Prazo (LTA) para serviço de Assessoria de Imprensa.,Reputale Comunicação Ltda,23-Aug-22,UNICEF,LRPS-2022-9176236,Brazil,
131742,Serviços de planejamento e compra de espaço de mídia para campanha de arrecadação de recursos por DRTV.,OMZ Ideias em Comunicação Ltda,17-Aug-22,UNICEF,LRPS-2022-9174505,Brazil,
131742,Serviços de planejamento e compra de espaço de mídia para campanha de arrecadação de recursos por DRTV.,R. Comunicação e Marketing Ltda,17-Aug-22,UNICEF,LRPS-2022-9174505,Brazil,
131794,Provision of Support Services for the ERP Unit 4 Business Word,Gcon4 Spain SL,16-Aug-22,ICAO,ICAO/00063,Multiple destinations,66000
131738,Consultancy for the Provision of a Financial Disclosure Programme Verification Exercise,Hudson Ethics 2 LLC,9-Aug-22,UNFPA,UNFPA/USA/RFQ/2022/022,Multiple destinations,
132178,Supply of Electricity,LLC Tbilisi Electricity Retail Company,15-May-22,UNOPS,21300-01/22270-001/22483-001/Procurement-Electricity/006,Multiple destinations,5705.85
130680,Provision of an online Greenhouse Gas (GHG) calculation tool in compliance with the GHG Protocol,Impacti LLC,2-May-22,UNFPA,UNFPA/USA/RFQ/22/001,Multiple destinations,
131718,Contratação de serviço de revisão do Núcleo Básico Brasil (NBB) SIPIA,Rompenuve Socioambiental Ltda,8-Feb-22,UNICEF,LIBS-2022-9172681,Brazil,
