id,objeto,nome,data,agencia,referencia,pais,valor
159046,Specialized Services in Communication & Social Media,Cênicas Comunicação LTDA,26-Aug-2026,ILO,rfx_6666_ROLAC,Brazil,
159009,Specialized Consultancy Services for the Development of a Human Rights Due Diligence Methodology and Toolkit for the Coffee Production Chain in Brazil,Antonio Rosa Consultoria LTDA,25-Aug-2026,ILO,rfx_7465_ROLAC,Brazil,
158955,RFP UNDP-BRA-01107,Instituto Publix,21-Aug-2026,UNDP,10581649/UNDP-BRA-01107,Brazil,91556.36
159135,Demande de cotations pour Travaux de Réalisation de Forages Tests (2 LOTS) en Haïti,Ozo Water EngineeringB&S GEO-ENGINEERING,27-Jul-2026,UNOPS,EPP - RFQ-HTCO-24319-26-060(NF),Multiple destinations,257333.00
157618,"Contrato Institucional para Produção de videoaulas para o curso autoinstrucional ""Como implementar a Lei da Escuta Protegida no município""",CENA 1 PRODUÇÃO AUDIOVISUAL LTDA,02-Jul-2026,UNICEF,LRPS-2026-9204219,Brazil,
156763,"UNDP-BRA-01145,1",JB PROPAGANDA E MARKETING LTDA,02-Jun-2026,UNDP,"10551177/UNDP-BRA-01145,1",Brazil,1397233.94
157617,Contrato Institucional para Análise de Dados em Imunização,PLANO CDE ELOHIM CONSULTORIA E PESQUISA LTDA,01-Jun-2026,UNICEF,LRPS-2026-9203154,Brazil,
156499,UNDP-BRA-01078 Consultoria Confllitos Agrários,Fórum Brasileiro de Segurança Pública,21-May-2026,UNDP,10541910/UNDP-BRA-01078,Brazil,295355.59
156325,"UNDP-BRA-01085,1 Implantação do Building Information Modeling (BIM) na diretoria de Engenharia e Arquitetura do MPBA",FRAZILLIO SOLUCOES DE TECNOLOGIA LTDA,12-May-2026,UNDP,"10540303/UNDP-BRA-01085,1",Brazil,180626.45
156395,Contratação de Empresa especializada para a Revisão do ENREDD+,Consórcio LACLIMA-WWF,12-May-2026,UNDP,UNDP-BRA-01054,Brazil,97620.00
156266,UNDP-BRA-01086 - Fortalecimento das capacidades governativas dos entes municipais da região da Amazônia Legal,Instituto Publix,11-May-2026,UNDP,10540603/UNDP-BRA-01086,Brazil,49753.04
155977,LONG TERM ARRANGEMENT FOR EVENT PRODUCTION SERVICES FOR UNICEF CHINA,"Beijing DreamSurf Cultural Communication Co., Ltd",28-Apr-2026,UNICEF,RFPS - 2026 - 9202690,Multiple destinations,50000.00
155561,UNDP-BRA-00990 Estudo de Linha de Base (ELB) PAGES,PLAN CONSULTORIA E PESQUISA EM CIENCIAS SOCIAIS [LTDA],08-Apr-2026,UNDP,10526317/UNDP-BRA-00990,Brazil,236068.48
155465,UNDP-BRA-01011,JB PROPAGANDA E MARKETING LTDA,02-Apr-2026,UNDP,10527021/UNDP-BRA-01101,Brazil,34733.63
155366,UNDP-BRA-01030,JB PROPAGANDA E MARKETING LTDA,28-Mar-2026,UNDP,10524888/UNDP-BRA-01094,Brazil,121184.08
155103,UNDP-BRA-01087,H&L PROMOCOES EVENTOS COMUNICACAO,13-Mar-2026,UNDP,10519452/UNDP-BRA-01087,Brazil,20294.78
154979,UNDP-BRA-01081,JB PROPAGANDA E MARKETING LTDA,06-Mar-2026,UNDP,10517245/UNDP-BRA-01081,Brazil,35196.88
154775,Consultoria para estudos e diagnósticos dos Arranjos Produtivos Locais (APLs) na Amazônia Legal.,Cluster Competitiveness and Innovation Consultoria Ltda,22-Feb-2026,UNDP,10511662/UNDP-BRA-00794,Brazil,162860.47
153199,UNDP-BRA-01017,REIS SA INSTALACOES LTDA,15-Jan-2026,UNDP,10499842/UNDP-BRA-01017,Brazil,68100.38
153116,Acordo de Longo Prazo (LTA) para Serviço de Clipagem de Notícias,CLIPPING SERVICE,29-Dec-2025,UNICEF,LRPS-2025-9201095,Brazil,
152939,Advisory Services for PCI-DSS Compliance Across UNICEF Fundraising Channels,1 Cyber Valley Ltd.ControlCase LimitedeSec Forte Technologies Private Limited,23-Dec-2025,UNICEF,UNICEF-PFP-RFPS-2025-503869,Multiple destinations,
153117,Acordo de Longo Prazo (LTA) para Fornecimento de Serviços de Assessoria de Imprensa,Reputale Comunicação Ltda,22-Dec-2025,UNICEF,LRPS-2025-9200925,Brazil,
152543,UNDP-BRA-01014,GAUCHE PROMOCOES E EVENTOS LTDA,11-Dec-2025,UNDP,10489508/UNDP-BRA-01014,Brazil,10353.82
152521,"UNDP-BRA-01009,1",EXEMPLUS COMUNICACAO E MARKETING LTDA EP,10-Dec-2025,UNDP,"10487119/UNDP-BRA-01009,1",Brazil,73182.87
152486,Concepção de Dossiê de Pesquisa e Referências Estéticas para os 30 Anos do PRONAF,Inseptos Filmes Ltda,09-Dec-2025,UNDP,10476586/UNDP-BRA-00975,Brazil,10013.22
152497,"UNDP-BRA-01011,1",DPS EVENTOS LTDA,09-Dec-2025,UNDP,"10488105/UNDP-BRA-01011,1",Brazil,6052.14
152389,UNDP-BRA-00939,FORMATIVA  GESTAO DE PROJETOS DESENVOLVIMENTO ORGANIZACIONAL E DE PESSOAL LTDA,02-Dec-2025,UNDP,10484234/UNDP-BRA-00939,Brazil,264761.64
152993,Consultoria Política de redução de riscos e danos para populações vulneráveis,JS BRASIL Consultoria,24-Nov-2025,UNDP,"UNDP-BRA-00897,1",Brazil,266134.00
152057,Assistance aux entreprises ivoiriennes - Solutions 4.0,Société du pôle de compétitivité de Sousse Novation City,15-Nov-2025,UNIDO,7000007708,Multiple destinations,139500.57
151840,Consultoria Especializada em Business Process Outsourcing (BPO),TS CONSULTORIA EMPRESARIAL S A,07-Nov-2025,UNDP,10469339/UNDP-BRA-00748,Brazil,340600.68
